nyud 509
nyud 200
scannet scene0002_01 005058
scannet scene0000_00 004821
scannet scene0000_00 004620
scenenet train/0/44 1125
scenenet train/0/498 750
scenenet train/0/408 6450
scenenet train/0/22 1825
scenenet train/0/194 2675
scenenet train/0/30 275
scenenet train/0/200 450
scenenet train/0/174 2775
scenenet train/0/136 3675
scenenet train/0/341 3025
scenenet train/0/169 4675
scenenet train/0/141 2675
scenenet train/0/423 3950
scenenet train/0/388 3375
scenenet train/0/468 6850
scenenet train/0/377 3325
scenenet train/0/118 5575
scenenet train/0/419 7250
scenenet train/0/106 4175
scenenet train/0/27 325
scenenet train/0/241 1225
scenenet train/0/301 2150
scenenet train/0/456 2050
scenenet train/0/309 6175
scenenet train/0/289 1175
scenenet train/0/486 1350
scenenet train/0/265 4250
scenenet train/0/75 425
scenenet train/0/436 2575
scenenet train/0/373 4225
scenenet train/0/483 1200
scenenet train/0/207 7150
scenenet train/0/205 3850
scenenet train/0/308 4350
nyud 149
nyud 1225
scannet scene0000_01 001879
scannet scene0000_00 005052
scannet scene0000_02 001083
scannet scene0000_00 004330
scannet scene0000_02 001590
scannet scene0000_00 004130
scannet scene0000_02 005301
scannet scene0000_02 001900
scannet scene0001_01 000539
scannet scene0002_01 002447
scannet scene0000_02 003458
scannet scene0000_02 002947
scenenet train/0/175 2975
scenenet train/0/66 925
scenenet train/0/386 5100
scenenet train/0/90 5450
scenenet train/0/188 4400
scenenet train/0/389 3875
scenenet train/0/301 5900
scenenet train/0/299 4875
scenenet train/0/157 6825
scenenet train/0/421 2625
scenenet train/0/314 6250
scenenet train/0/338 4200
scenenet train/0/236 300
scenenet train/0/188 4250
scenenet train/0/281 3850
scenenet train/0/421 6575
scenenet train/0/270 2725
scenenet train/0/16 6525
scenenet train/0/469 2775
scenenet train/0/6 6100
scenenet train/0/470 2550
scenenet train/0/95 5125
scenenet train/0/68 5900
scenenet train/0/78 4675
scenenet train/0/171 6825
scenenet train/0/203 5625
scenenet train/0/136 7275
scenenet train/0/145 7000
scenenet train/0/441 5125
scenenet train/0/478 6950
scenenet train/0/254 6675
scenenet train/0/83 7100
scenenet train/0/138 2325
scenenet train/0/221 5325
nyud 134
nyud 978
scannet scene0000_00 004632
scannet scene0001_00 000934
scannet scene0000_01 004159
scannet scene0002_01 004083
scannet scene0000_02 004951
scannet scene0001_00 001094
scannet scene0000_00 003362
scannet scene0002_01 005495
scannet scene0002_01 002264
scannet scene0000_02 001497
scannet scene0000_02 000841
scannet scene0000_02 001662
scenenet train/0/301 1525
scenenet train/0/286 5300
scenenet train/0/279 7025
scenenet train/0/444 4450
scenenet train/0/95 1375
scenenet train/0/308 825
scenenet train/0/209 5000
scenenet train/0/405 5400
scenenet train/0/326 6750
scenenet train/0/472 4600
scenenet train/0/204 1625
scenenet train/0/68 575
scenenet train/0/142 2125
scenenet train/0/202 2450
scenenet train/0/280 4525
scenenet train/0/101 825
scenenet train/0/359 825
scenenet train/0/365 1525
scenenet train/0/144 6350
scenenet train/0/43 725
scenenet train/0/358 2825
scenenet train/0/417 7100
scenenet train/0/167 400
scenenet train/0/133 4650
scenenet train/0/160 300
scenenet train/0/498 5950
scenenet train/0/210 5575
scenenet train/0/438 625
scenenet train/0/393 900
scenenet train/0/39 6175
scenenet train/0/82 1675
scenenet train/0/156 5525
scenenet train/0/396 5850
scenenet train/0/24 6375
nyud 832
nyud 811
scannet scene0001_01 001215
scannet scene0000_01 001926
scannet scene0000_01 003690
scannet scene0000_01 005035
scannet scene0000_01 000944
scannet scene0002_01 003325
scannet scene0001_00 000033
scannet scene0000_00 003374
scannet scene0000_00 000985
scannet scene0000_01 000545
scannet scene0000_00 002676
scannet scene0000_01 001242
scenenet train/0/174 1800
scenenet train/0/490 4625
scenenet train/0/330 6925
scenenet train/0/369 2300
scenenet train/0/231 2575
scenenet train/0/111 7150
scenenet train/0/260 4825
scenenet train/0/390 7450
scenenet train/0/112 4675
scenenet train/0/50 225
scenenet train/0/396 2975
scenenet train/0/457 6625
scenenet train/0/32 6550
scenenet train/0/20 4500
scenenet train/0/124 6400
scenenet train/0/188 1875
scenenet train/0/404 7450
scenenet train/0/334 3025
scenenet train/0/186 1325
scenenet train/0/182 6400
scenenet train/0/473 1025
scenenet train/0/366 3975
scenenet train/0/479 950
scenenet train/0/112 1750
scenenet train/0/100 5500
scenenet train/0/45 6900
scenenet train/0/386 6525
scenenet train/0/77 2575
scenenet train/0/82 850
scenenet train/0/233 2075
scenenet train/0/90 2400
scenenet train/0/216 675
scenenet train/0/189 6025
scenenet train/0/318 4875
nyud 1009
nyud 1264
scannet scene0000_02 002400
scannet scene0000_00 003330
scannet scene0000_00 000324
scannet scene0000_02 001072
scannet scene0000_02 001550
scannet scene0000_02 003575
scannet scene0000_01 005161
scannet scene0002_01 004442
scannet scene0002_01 005233
scannet scene0000_01 000800
scannet scene0001_00 000127
scannet scene0000_00 001508
scenenet train/0/343 900
scenenet train/0/149 3675
scenenet train/0/277 5000
scenenet train/0/362 4525
scenenet train/0/468 225
scenenet train/0/488 6100
scenenet train/0/218 3300
scenenet train/0/190 1600
scenenet train/0/252 5950
scenenet train/0/446 7375
scenenet train/0/189 825
scenenet train/0/400 5150
scenenet train/0/255 7425
scenenet train/0/112 2275
scenenet train/0/492 450
scenenet train/0/388 5300
scenenet train/0/398 100
scenenet train/0/384 7075
scenenet train/0/207 6575
scenenet train/0/215 725
scenenet train/0/320 1625
scenenet train/0/215 3750
scenenet train/0/488 2350
scenenet train/0/403 2925
scenenet train/0/294 3000
scenenet train/0/286 6925
scenenet train/0/131 2975
scenenet train/0/395 750
scenenet train/0/0 6100
scenenet train/0/336 1425
scenenet train/0/124 6475
scenenet train/0/474 4100
scenenet train/0/7 1550
scenenet train/0/387 1925
nyud 397
nyud 778
scannet scene0000_00 002844
scannet scene0000_02 004054
scannet scene0001_01 000822
scannet scene0002_01 001484
scannet scene0000_01 001194
scannet scene0000_02 002848
scannet scene0000_00 005482
scannet scene0001_00 001243
scannet scene0002_01 000628
scannet scene0002_01 005397
scannet scene0000_00 003223
scannet scene0002_00 000899
scenenet train/0/428 2475
scenenet train/0/124 3850
scenenet train/0/364 400
scenenet train/0/253 2100
scenenet train/0/338 7050
scenenet train/0/456 850
scenenet train/0/367 4000
scenenet train/0/351 1675
scenenet train/0/91 4025
scenenet train/0/313 4825
scenenet train/0/85 200
scenenet train/0/353 3800
scenenet train/0/158 7350
scenenet train/0/495 3375
scenenet train/0/174 6000
scenenet train/0/281 4825
scenenet train/0/33 1250
scenenet train/0/297 4325
scenenet train/0/436 1300
scenenet train/0/428 1325
scenenet train/0/163 1575
scenenet train/0/241 5150
scenenet train/0/109 2175
scenenet train/0/454 3350
scenenet train/0/89 675
scenenet train/0/132 1300
scenenet train/0/371 1700
scenenet train/0/52 5650
scenenet train/0/364 7400
scenenet train/0/351 225
scenenet train/0/48 2000
scenenet train/0/163 2150
scenenet train/0/82 4200
scenenet train/0/442 2050
nyud 1226
nyud 1152
scannet scene0000_00 000160
scannet scene0002_01 003577
scannet scene0002_01 003110
scannet scene0000_00 000190
scannet scene0000_00 004219
scannet scene0002_01 000202
scannet scene0000_02 000428
scannet scene0002_01 001540
scannet scene0000_01 000573
scannet scene0000_02 000699
scannet scene0000_01 002649
scannet scene0002_00 001031
scenenet train/0/200 425
scenenet train/0/141 375
scenenet train/0/376 2975
scenenet train/0/432 2575
scenenet train/0/258 5475
scenenet train/0/405 2425
scenenet train/0/356 1925
scenenet train/0/342 3850
scenenet train/0/65 3175
scenenet train/0/51 5025
scenenet train/0/235 2050
scenenet train/0/390 5275
scenenet train/0/477 5100
scenenet train/0/148 1025
scenenet train/0/436 2900
scenenet train/0/471 4825
scenenet train/0/156 1325
scenenet train/0/97 2325
scenenet train/0/189 100
scenenet train/0/203 1525
scenenet train/0/422 1900
scenenet train/0/372 7275
scenenet train/0/145 6200
scenenet train/0/305 7375
scenenet train/0/233 1275
scenenet train/0/469 3850
scenenet train/0/431 2525
scenenet train/0/20 1425
scenenet train/0/209 4225
scenenet train/0/99 2350
scenenet train/0/334 1300
scenenet train/0/172 2950
scenenet train/0/27 150
scenenet train/0/219 750
nyud 963
nyud 449
scannet scene0000_01 000253
scannet scene0002_00 000153
scannet scene0000_02 003640
scannet scene0000_00 001294
scannet scene0000_01 001731
scannet scene0000_01 001895
scannet scene0000_02 002453
scannet scene0002_00 000690
scannet scene0001_00 001511
scannet scene0002_01 000179
scannet scene0000_01 004412
scannet scene0000_00 005058
scenenet train/0/63 2225
scenenet train/0/478 6125
scenenet train/0/268 7450
scenenet train/0/147 4400
scenenet train/0/90 2925
scenenet train/0/196 5575
scenenet train/0/59 4800
scenenet train/0/239 925
scenenet train/0/145 3125
scenenet train/0/16 4400
scenenet train/0/212 1550
scenenet train/0/472 5750
scenenet train/0/412 5275
scenenet train/0/54 625
scenenet train/0/147 6175
scenenet train/0/33 4725
scenenet train/0/185 2075
scenenet train/0/477 1575
scenenet train/0/131 6675
scenenet train/0/298 7325
scenenet train/0/463 2325
scenenet train/0/24 4750
scenenet train/0/389 2725
scenenet train/0/49 725
scenenet train/0/448 3500
scenenet train/0/438 3075
scenenet train/0/477 4225
scenenet train/0/50 1075
scenenet train/0/312 650
scenenet train/0/139 3400
scenenet train/0/226 6025
scenenet train/0/484 25
scenenet train/0/410 3550
scenenet train/0/135 3900
nyud 316
nyud 889
scannet scene0000_01 001574
scannet scene0000_01 003349
scannet scene0002_01 005464
scannet scene0000_01 000506
scannet scene0001_01 000805
scannet scene0000_01 001008
scannet scene0000_01 000893
scannet scene0002_01 002084
scannet scene0002_01 003209
scannet scene0000_01 004302
scannet scene0000_00 005277
scannet scene0000_00 000448
scenenet train/0/53 2650
scenenet train/0/481 6350
scenenet train/0/195 4600
scenenet train/0/444 5525
scenenet train/0/452 6925
scenenet train/0/182 6750
scenenet train/0/173 2300
scenenet train/0/280 1300
scenenet train/0/193 725
scenenet train/0/14 450
scenenet train/0/414 6850
scenenet train/0/464 6375
scenenet train/0/378 3125
scenenet train/0/357 2850
scenenet train/0/282 5625
scenenet train/0/22 6700
scenenet train/0/341 5975
scenenet train/0/326 975
scenenet train/0/359 4650
scenenet train/0/63 1650
scenenet train/0/473 5350
scenenet train/0/8 4525
scenenet train/0/319 3400
scenenet train/0/2 7400
scenenet train/0/165 1175
scenenet train/0/101 5550
scenenet train/0/408 3650
scenenet train/0/94 4225
scenenet train/0/349 3425
scenenet train/0/133 1050
scenenet train/0/462 2275
scenenet train/0/212 7025
scenenet train/0/337 3800
scenenet train/0/487 3975
nyud 654
nyud 1284
scannet scene0002_01 003985
scannet scene0002_01 005424
scannet scene0000_01 005393
scannet scene0002_00 001011
scannet scene0002_00 000206
scannet scene0000_00 000584
scannet scene0002_01 004060
scannet scene0000_00 003748
scannet scene0000_01 003283
scannet scene0002_01 001939
scannet scene0000_01 001547
scannet scene0000_00 004982
scenenet train/0/375 2975
scenenet train/0/22 7325
scenenet train/0/62 5650
scenenet train/0/312 3975
scenenet train/0/159 325
scenenet train/0/436 100
scenenet train/0/39 6150
scenenet train/0/235 4825
scenenet train/0/355 5850
scenenet train/0/290 5925
scenenet train/0/174 3925
scenenet train/0/11 2950
scenenet train/0/280 925
scenenet train/0/220 3200
scenenet train/0/274 1275
scenenet train/0/479 6650
scenenet train/0/183 6325
scenenet train/0/87 5925
scenenet train/0/392 1200
scenenet train/0/449 4050
scenenet train/0/486 2575
scenenet train/0/464 2575
scenenet train/0/392 3075
scenenet train/0/340 5575
scenenet train/0/149 2475
scenenet train/0/39 6050
scenenet train/0/387 1650
scenenet train/0/180 600
scenenet train/0/29 2275
scenenet train/0/323 5050
scenenet train/0/407 375
scenenet train/0/157 1475
scenenet train/0/481 2975
scenenet train/0/247 3300
nyud 491
nyud 872
scannet scene0000_02 000630
scannet scene0000_02 003746
scannet scene0000_00 005488
scannet scene0002_01 000259
scannet scene0000_01 005106
scannet scene0000_02 000560
scannet scene0000_02 004502
scannet scene0001_00 000850
scannet scene0000_01 000008
scannet scene0000_01 001144
scannet scene0000_02 001105
scannet scene0000_02 000401
scenenet train/0/338 250
scenenet train/0/73 2425
scenenet train/0/66 5025
scenenet train/0/94 6600
scenenet train/0/267 550
scenenet train/0/409 3450
scenenet train/0/244 7050
scenenet train/0/373 2900
scenenet train/0/474 550
scenenet train/0/368 900
scenenet train/0/395 7125
scenenet train/0/138 950
scenenet train/0/86 25
scenenet train/0/405 7325
scenenet train/0/357 6450
scenenet train/0/5 3725
scenenet train/0/400 5075
scenenet train/0/277 2075
scenenet train/0/309 6600
scenenet train/0/238 300
scenenet train/0/397 1950
scenenet train/0/406 4225
scenenet train/0/431 4650
scenenet train/0/15 2900
scenenet train/0/467 6500
scenenet train/0/396 4125
scenenet train/0/325 6150
scenenet train/0/117 800
scenenet train/0/402 2050
scenenet train/0/140 1975
scenenet train/0/392 6475
scenenet train/0/275 1350
scenenet train/0/15 4800
scenenet train/0/80 3775
nyud 800
nyud 603
scannet scene0000_02 000176
scannet scene0002_01 000120
scannet scene0000_01 004241
scannet scene0002_01 000381
scannet scene0000_00 004327
scannet scene0000_02 003915
scannet scene0000_01 004832
scannet scene0000_00 003624
scannet scene0000_00 004104
scannet scene0002_01 000432
scannet scene0000_01 005212
scannet scene0000_00 000171
scenenet train/0/345 3150
scenenet train/0/478 775
scenenet train/0/264 625
scenenet train/0/398 200
scenenet train/0/195 5800
scenenet train/0/11 7400
scenenet train/0/58 950
scenenet train/0/320 1075
scenenet train/0/420 4475
scenenet train/0/115 4400
scenenet train/0/245 2025
scenenet train/0/380 4075
scenenet train/0/143 1525
scenenet train/0/464 2050
scenenet train/0/310 5100
scenenet train/0/282 3075
scenenet train/0/387 2300
scenenet train/0/8 6625
scenenet train/0/257 2900
scenenet train/0/179 4750
scenenet train/0/114 3300
scenenet train/0/165 4800
scenenet train/0/101 875
scenenet train/0/135 3450
scenenet train/0/254 7075
scenenet train/0/320 4300
scenenet train/0/443 6600
scenenet train/0/140 3675
scenenet train/0/318 5650
scenenet train/0/230 7425
scenenet train/0/237 800
scenenet train/0/303 5250
scenenet train/0/354 4725
scenenet train/0/371 2250
nyud 329
nyud 392
scannet scene0000_02 001293
scannet scene0000_01 001277
scannet scene0002_01 002593
